SKU_ID,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision,stock_negativo,Costo_Unitario_Limpio,Lead_Time_Limpio
PROD-3149,smart-phone,1443.0,1204.77,291,10.0,norte,2024-03-13,False,1204.77,10.0
PROD-2339,laptop,1949.0,1398.74,251,,norte,2024-03-13,False,1398.74,5.0
PROD-2781,,-8.0,1177.71,277,,zona_franca,2024-03-13,True,1177.71,5.0
PROD-1103,accesorios,302.0,222.13,173,,norte,2024-03-13,False,222.13,5.0
PROD-3379,accesorios,1948.0,395.59,260,10.0,norte,2024-03-13,False,395.59,10.0
PROD-3464,monitores,820.0,1421.97,263,10.0,zona_franca,2024-03-14,False,1421.97,10.0
PROD-2446,,1074.0,796.38,237,,bod-ext-99,2024-03-14,False,796.38,5.0
PROD-1969,smartphones,1788.0,605.93,241,,bod-ext-99,2024-03-15,False,605.93,5.0
PROD-2333,,-29.0,861.63,208,,sur,2024-03-16,True,861.63,5.0
PROD-1105,tablets,1305.0,361.31,167,3.0,sur,2024-03-16,False,361.31,3.0
PROD-2478,laptop,598.0,729.41,205,,occidente,2024-03-16,False,729.41,5.0
PROD-2887,accesorios,1221.0,1241.67,118,,sur,2024-03-16,False,1241.67,5.0
PROD-3172,monitores,872.0,62.5,265,5.0,occidente,2024-03-17,False,62.5,5.0
PROD-1615,smartphones,1638.0,166.89,185,3.0,zona_franca,2024-03-17,False,166.89,3.0
PROD-1914,accesorios,1544.0,440.28,178,10.0,bod-ext-99,2024-03-17,False,440.28,10.0
PROD-3243,tablets,850.0,941.02,162,,norte,2024-03-18,False,941.02,5.0
PROD-2905,tablets,319.0,501.9,227,5.0,zona_franca,2024-03-18,False,501.9,5.0
PROD-2899,tablets,1870.0,716.05,132,5.0,norte,2024-03-18,False,716.05,5.0
PROD-2893,smartphones,1422.0,1372.14,181,5.0,norte,2024-03-18,False,1372.14,5.0
PROD-2901,monitores,567.0,669.0,110,,sur,2024-03-18,False,669.0,5.0
PROD-1142,accesorios,453.0,749.09,131,5.0,sur,2024-03-18,False,749.09,5.0
PROD-2884,laptops,770.0,1462.94,294,3.0,zona_franca,2024-03-19,False,1462.94,3.0
PROD-1928,laptop,1849.0,208.07,226,,bod-ext-99,2024-03-19,False,208.07,5.0
PROD-1206,,1919.0,820.38,235,3.0,bod-ext-99,2024-03-19,False,820.38,3.0
PROD-1555,,342.0,1029.71,191,5.0,sur,2024-03-19,False,1029.71,5.0
PROD-1051,laptop,836.0,1009.77,136,,norte,2024-03-19,False,1009.77,5.0
PROD-2022,tablets,-10.0,333.78,145,3.0,zona_franca,2024-03-19,True,333.78,3.0
PROD-2053,smart-phone,981.0,593.5,211,,norte,2024-03-19,False,593.5,5.0
PROD-2278,monitores,1734.0,1135.48,201,5.0,norte,2024-03-20,False,1135.48,5.0
PROD-3238,accesorios,1893.0,989.64,137,,norte,2024-03-20,False,989.64,5.0
PROD-1505,laptops,1525.0,1142.53,258,,norte,2024-03-20,False,1142.53,5.0
PROD-1531,,1970.0,110.29,201,5.0,bod-ext-99,2024-03-20,False,110.29,5.0
PROD-2920,smartphones,100.0,916.64,180,,norte,2024-03-21,False,916.64,5.0
PROD-1414,smartphones,1716.0,90.39,265,3.0,zona_franca,2024-03-23,False,90.39,3.0
PROD-2456,laptop,1696.0,232.87,153,,norte,2024-03-23,False,232.87,5.0
PROD-2282,laptops,606.0,1086.93,204,,occidente,2024-03-24,False,1086.93,5.0
PROD-1950,smartphones,,1430.96,197,,norte,2024-03-24,False,1430.96,5.0
PROD-1955,smartphones,432.0,1421.34,164,10.0,bod-ext-99,2024-03-24,False,1421.34,10.0
PROD-1631,accesorios,612.0,1097.0,214,3.0,sur,2024-03-24,False,1097.0,3.0
PROD-1938,laptop,1390.0,1050.97,231,,norte,2024-03-25,False,1050.97,5.0
PROD-1282,laptop,285.0,108.37,252,5.0,sur,2024-03-25,False,108.37,5.0
PROD-2863,laptop,618.0,423.34,270,5.0,occidente,2024-03-25,False,423.34,5.0
PROD-1174,,1692.0,1258.78,235,,occidente,2024-03-25,False,1258.78,5.0
PROD-2269,tablets,1472.0,703.01,107,,sur,2024-03-25,False,703.01,5.0
PROD-1309,laptop,394.0,764.18,151,,sur,2024-03-26,False,764.18,5.0
PROD-2758,smart-phone,458.0,1432.3,246,,norte,2024-03-26,False,1432.3,5.0
PROD-2792,smart-phone,1141.0,1055.4,291,,sur,2024-03-27,False,1055.4,5.0
PROD-3261,,1155.0,540.83,104,,sur,2024-03-27,False,540.83,5.0
PROD-1696,smart-phone,1030.0,153.18,245,,bod-ext-99,2024-03-27,False,153.18,5.0
PROD-1539,tablets,1890.0,895.54,170,5.0,occidente,2024-03-27,False,895.54,5.0
PROD-1048,laptop,92.0,777.2,274,,zona_franca,2024-03-27,False,777.2,5.0
PROD-1789,smart-phone,1964.0,1020.37,128,5.0,occidente,2024-03-28,False,1020.37,5.0
PROD-3179,,1957.0,1091.2,132,10.0,occidente,2024-03-28,False,1091.2,10.0
PROD-3051,smart-phone,-32.0,961.66,168,10.0,zona_franca,2024-03-28,True,961.66,10.0
PROD-1345,smart-phone,611.0,1023.34,266,,norte,2024-03-28,False,1023.34,5.0
PROD-2124,laptop,1467.0,1296.49,119,,norte,2024-03-28,False,1296.49,5.0
PROD-1123,smart-phone,135.0,123.01,222,,occidente,2024-03-29,False,123.01,5.0
PROD-3070,monitores,1242.0,605.11,212,5.0,occidente,2024-03-29,False,605.11,5.0
PROD-3341,smartphones,853.0,1318.41,253,3.0,norte,2024-03-30,False,1318.41,3.0
PROD-2556,tablets,1544.0,660.07,191,3.0,zona_franca,2024-03-30,False,660.07,3.0
PROD-1528,tablets,850.0,388.92,223,,norte,2024-03-30,False,388.92,5.0
PROD-2655,smartphones,1239.0,1225.49,192,,norte,2024-03-31,False,1225.49,5.0
PROD-2088,,816.0,1237.36,184,,norte,2024-03-31,False,1237.36,5.0
PROD-2099,smartphones,830.0,655.22,221,5.0,occidente,2024-04-01,False,655.22,5.0
PROD-1741,laptop,1532.0,393.54,238,3.0,norte,2024-04-01,False,393.54,3.0
PROD-1361,laptops,1553.0,528.91,243,5.0,occidente,2024-04-01,False,528.91,5.0
PROD-1934,,1771.0,1295.11,138,10.0,norte,2024-04-01,False,1295.11,10.0
PROD-3213,smartphones,961.0,1430.78,179,10.0,sur,2024-04-02,False,1430.78,10.0
PROD-1088,accesorios,1877.0,1112.85,140,3.0,sur,2024-04-02,False,1112.85,3.0
PROD-2523,monitores,614.0,1310.82,219,,bod-ext-99,2024-04-02,False,1310.82,5.0
PROD-2868,monitores,1387.0,935.05,265,,bod-ext-99,2024-04-02,False,935.05,5.0
PROD-2897,smartphones,766.0,1248.27,277,10.0,zona_franca,2024-04-02,False,1248.27,10.0
PROD-1646,monitores,410.0,241.66,186,5.0,bod-ext-99,2024-04-03,False,241.66,5.0
PROD-2945,,1523.0,1147.14,279,5.0,norte,2024-04-03,False,1147.14,5.0
PROD-2165,tablets,1513.0,1472.82,193,,occidente,2024-04-03,False,1472.82,5.0
PROD-1287,monitores,0.0,449.1,221,,zona_franca,2024-04-04,False,449.1,5.0
PROD-2459,smartphones,862.0,639.3,130,,norte,2024-04-04,False,639.3,5.0
PROD-2930,,18.0,1266.32,157,,zona_franca,2024-04-04,False,1266.32,5.0
PROD-3430,accesorios,1772.0,1068.48,167,3.0,norte,2024-04-04,False,1068.48,3.0
PROD-2137,tablets,808.0,596.73,290,,norte,2024-04-05,False,596.73,5.0
PROD-1737,monitores,1020.0,919.07,265,5.0,sur,2024-04-05,False,919.07,5.0
PROD-3095,smartphones,608.0,995.81,186,,norte,2024-04-05,False,995.81,5.0
PROD-1667,accesorios,823.0,650.5,204,5.0,norte,2024-04-05,False,650.5,5.0
PROD-1956,accesorios,885.0,503.73,176,3.0,norte,2024-04-06,False,503.73,3.0
PROD-2973,,1308.0,1445.96,158,,zona_franca,2024-04-06,False,1445.96,5.0
PROD-2951,smartphones,964.0,902.31,163,,norte,2024-04-06,False,902.31,5.0
PROD-1962,laptop,1998.0,415.86,122,,norte,2024-04-07,False,415.86,5.0
PROD-2815,smartphones,985.0,802.18,259,,norte,2024-04-07,False,802.18,5.0
PROD-1868,smart-phone,1527.0,1334.95,293,5.0,zona_franca,2024-04-07,False,1334.95,5.0
PROD-1895,accesorios,1865.0,1405.09,218,10.0,norte,2024-04-08,False,1405.09,10.0
PROD-1689,tablets,1778.0,791.98,298,,norte,2024-04-08,False,791.98,5.0
PROD-1644,,37.0,1230.86,184,10.0,norte,2024-04-08,False,1230.86,10.0
PROD-2357,smartphones,150.0,328.43,124,10.0,bod-ext-99,2024-04-08,False,328.43,10.0
PROD-2558,smart-phone,-25.0,1369.4,187,,occidente,2024-04-08,True,1369.4,5.0
PROD-1779,smartphones,825.0,1029.41,262,,occidente,2024-04-08,False,1029.41,5.0
PROD-1146,smartphones,1990.0,1222.19,107,5.0,zona_franca,2024-04-09,False,1222.19,5.0
PROD-2285,laptop,1090.0,738.9,109,10.0,zona_franca,2024-04-09,False,738.9,10.0
PROD-2440,laptops,1898.0,935.03,227,,occidente,2024-04-09,False,935.03,5.0
PROD-1235,accesorios,653.0,1422.8,186,,zona_franca,2024-04-09,False,1422.8,5.0
PROD-3214,tablets,448.0,822.93,117,10.0,norte,2024-04-09,False,822.93,10.0
PROD-3219,smartphones,1277.0,193.76,281,10.0,norte,2024-04-09,False,193.76,10.0
PROD-1125,,,1053.42,210,10.0,occidente,2024-04-09,False,1053.42,10.0
PROD-1230,laptop,1949.0,622.98,134,,occidente,2024-04-10,False,622.98,5.0
PROD-1792,monitores,531.0,568.83,237,5.0,norte,2024-04-10,False,568.83,5.0
PROD-2062,smart-phone,1761.0,106.49,252,,norte,2024-04-11,False,106.49,5.0
PROD-2377,monitores,399.0,778.44,122,5.0,norte,2024-04-11,False,778.44,5.0
PROD-3011,monitores,1975.0,699.56,177,,sur,2024-04-12,False,699.56,5.0
PROD-2706,smartphones,1623.0,875.35,155,10.0,norte,2024-04-12,False,875.35,10.0
PROD-1249,smartphones,1304.0,495.46,227,3.0,norte,2024-04-12,False,495.46,3.0
PROD-3409,,1045.0,347.22,278,,zona_franca,2024-04-13,False,347.22,5.0
PROD-2588,smart-phone,1641.0,1181.07,297,,occidente,2024-04-13,False,1181.07,5.0
PROD-1604,smart-phone,1832.0,1214.37,115,5.0,sur,2024-04-13,False,1214.37,5.0
PROD-3422,monitores,1179.0,168.81,282,3.0,norte,2024-04-13,False,168.81,3.0
PROD-2748,smart-phone,1054.0,142.94,111,,bod-ext-99,2024-04-14,False,142.94,5.0
PROD-3321,tablets,1496.0,801.63,168,,bod-ext-99,2024-04-14,False,801.63,5.0
PROD-1263,laptops,911.0,286.38,229,10.0,norte,2024-04-14,False,286.38,10.0
PROD-1855,monitores,1127.0,299.15,129,10.0,occidente,2024-04-14,False,299.15,10.0
PROD-1901,accesorios,1497.0,620.66,148,5.0,bod-ext-99,2024-04-15,False,620.66,5.0
PROD-1805,accesorios,1951.0,428.69,155,10.0,zona_franca,2024-04-15,False,428.69,10.0
PROD-3425,smart-phone,,1465.91,278,,occidente,2024-04-15,False,1465.91,5.0
PROD-1965,laptops,589.0,127.77,244,,norte,2024-04-15,False,127.77,5.0
PROD-3274,,1016.0,1225.86,199,,sur,2024-04-15,False,1225.86,5.0
PROD-3199,monitores,1887.0,746.27,116,,norte,2024-04-15,False,746.27,5.0
PROD-2989,monitores,874.0,1439.06,275,,zona_franca,2024-04-15,False,1439.06,5.0
PROD-3168,laptop,144.0,1302.49,187,,zona_franca,2024-04-15,False,1302.49,5.0
PROD-3150,laptops,,913.35,107,,norte,2024-04-15,False,913.35,5.0
PROD-2122,smartphones,346.0,1435.4,128,,zona_franca,2024-04-16,False,1435.4,5.0
PROD-2011,monitores,347.0,783.01,243,5.0,norte,2024-04-16,False,783.01,5.0
PROD-1075,tablets,,223.84,166,5.0,occidente,2024-04-16,False,223.84,5.0
PROD-1876,tablets,728.0,466.47,164,,norte,2024-04-17,False,466.47,5.0
PROD-1520,,459.0,743.81,293,3.0,bod-ext-99,2024-04-17,False,743.81,3.0
PROD-3351,monitores,1311.0,1084.81,298,5.0,norte,2024-04-17,False,1084.81,5.0
PROD-2936,smartphones,1134.0,1371.12,295,,zona_franca,2024-04-17,False,1371.12,5.0
PROD-2825,monitores,,243.26,211,,zona_franca,2024-04-17,False,243.26,5.0
PROD-1343,tablets,622.0,1120.03,178,,norte,2024-04-18,False,1120.03,5.0
PROD-1639,,162.0,1224.03,271,,zona_franca,2024-04-18,False,1224.03,5.0
PROD-2322,monitores,112.0,1278.94,151,5.0,bod-ext-99,2024-04-18,False,1278.94,5.0
PROD-1056,,266.0,1235.24,266,,bod-ext-99,2024-04-18,False,1235.24,5.0
PROD-2938,tablets,1501.0,1152.05,144,3.0,occidente,2024-04-18,False,1152.05,3.0
PROD-3185,smartphones,1043.0,355.61,167,,sur,2024-04-18,False,355.61,5.0
PROD-2042,smart-phone,1277.0,1273.63,214,,norte,2024-04-19,False,1273.63,5.0
PROD-2914,,1221.0,1087.22,222,,norte,2024-04-19,False,1087.22,5.0
PROD-2374,smartphones,1630.0,553.15,232,5.0,bod-ext-99,2024-04-20,False,553.15,5.0
PROD-1340,smartphones,1534.0,1245.31,287,3.0,norte,2024-04-20,False,1245.31,3.0
PROD-2871,monitores,1256.0,213.13,236,5.0,norte,2024-04-21,False,213.13,5.0
PROD-1883,,1917.0,250.28,284,,bod-ext-99,2024-04-22,False,250.28,5.0
PROD-1693,accesorios,820.0,260.72,130,,norte,2024-04-22,False,260.72,5.0
PROD-3002,laptop,226.0,1372.09,128,,bod-ext-99,2024-04-22,False,1372.09,5.0
PROD-3401,accesorios,1562.0,1151.3,264,3.0,bod-ext-99,2024-04-22,False,1151.3,3.0
PROD-2130,tablets,533.0,1405.45,157,3.0,zona_franca,2024-04-22,False,1405.45,3.0
PROD-3400,monitores,,713.76,194,,norte,2024-04-23,False,713.76,5.0
PROD-2463,smartphones,973.0,954.08,109,5.0,sur,2024-04-23,False,954.08,5.0
PROD-1781,smartphones,1315.0,242.86,128,,norte,2024-04-23,False,242.86,5.0
PROD-1163,accesorios,1749.0,1086.39,251,10.0,occidente,2024-04-23,False,1086.39,10.0
PROD-2039,smartphones,1740.0,368.47,253,,norte,2024-04-23,False,368.47,5.0
PROD-3390,tablets,-3.0,100.98,231,3.0,sur,2024-04-23,True,100.98,3.0
PROD-2214,tablets,75.0,1370.7,142,10.0,occidente,2024-04-23,False,1370.7,10.0
PROD-1461,monitores,1755.0,199.98,270,,bod-ext-99,2024-04-23,False,199.98,5.0
PROD-1336,monitores,95.0,398.77,199,5.0,sur,2024-04-24,False,398.77,5.0
PROD-1252,accesorios,771.0,282.33,161,,occidente,2024-04-24,False,282.33,5.0
PROD-2455,monitores,482.0,884.71,173,3.0,norte,2024-04-24,False,884.71,3.0
PROD-1289,,738.0,443.66,153,,norte,2024-04-24,False,443.66,5.0
PROD-1238,smartphones,1062.0,435.6,179,10.0,occidente,2024-04-25,False,435.6,10.0
PROD-2024,,17.0,990.68,213,,norte,2024-04-25,False,990.68,5.0
PROD-2252,,1882.0,874.99,156,,zona_franca,2024-04-25,False,874.99,5.0
PROD-3412,tablets,169.0,1286.19,118,10.0,occidente,2024-04-26,False,1286.19,10.0
PROD-2445,laptops,184.0,860.87,271,,norte,2024-04-26,False,860.87,5.0
PROD-1470,monitores,1553.0,68.7,228,,norte,2024-04-26,False,68.7,5.0
PROD-3088,,1797.0,1093.11,132,5.0,zona_franca,2024-04-26,False,1093.11,5.0
PROD-2372,,1501.0,451.29,171,3.0,occidente,2024-04-27,False,451.29,3.0
PROD-2181,,1100.0,566.14,201,3.0,zona_franca,2024-04-27,False,566.14,3.0
PROD-2802,smartphones,1431.0,1010.36,160,10.0,bod-ext-99,2024-04-27,False,1010.36,10.0
PROD-2159,accesorios,1816.0,309.69,103,,norte,2024-04-28,False,309.69,5.0
PROD-2822,accesorios,1291.0,518.07,103,,norte,2024-04-28,False,518.07,5.0
PROD-1799,smartphones,824.0,354.66,131,,bod-ext-99,2024-04-28,False,354.66,5.0
PROD-1325,laptop,,100.28,119,3.0,occidente,2024-04-28,False,100.28,3.0
PROD-1748,laptops,87.0,1387.53,160,5.0,norte,2024-04-29,False,1387.53,5.0
PROD-1622,smart-phone,1517.0,963.64,132,3.0,bod-ext-99,2024-04-29,False,963.64,3.0
PROD-2842,,151.0,168.1,145,10.0,bod-ext-99,2024-04-30,False,168.1,10.0
PROD-3075,smart-phone,,1155.09,261,,sur,2024-04-30,False,1155.09,5.0
PROD-1574,smart-phone,1900.0,631.02,130,,norte,2024-05-01,False,631.02,5.0
PROD-1301,laptops,1621.0,188.27,161,5.0,zona_franca,2024-05-01,False,188.27,5.0
PROD-3236,smartphones,522.0,1450.46,115,,norte,2024-05-01,False,1450.46,5.0
PROD-1827,tablets,542.0,182.56,144,,occidente,2024-05-01,False,182.56,5.0
PROD-1980,accesorios,794.0,1078.61,107,,norte,2024-05-02,False,1078.61,5.0
PROD-2452,,742.0,165.59,152,,sur,2024-05-02,False,165.59,5.0
PROD-1157,tablets,219.0,739.61,183,,norte,2024-05-02,False,739.61,5.0
PROD-2628,smart-phone,821.0,1444.98,105,,sur,2024-05-02,False,1444.98,5.0
PROD-1596,monitores,166.0,1114.83,266,,norte,2024-05-03,False,1114.83,5.0
PROD-2226,smart-phone,1407.0,853.29,148,3.0,zona_franca,2024-05-03,False,853.29,3.0
PROD-2107,laptop,1780.0,137.33,198,,zona_franca,2024-05-04,False,137.33,5.0
PROD-2760,,712.0,338.69,256,5.0,bod-ext-99,2024-05-04,False,338.69,5.0
PROD-2092,,1405.0,496.34,158,,occidente,2024-05-04,False,496.34,5.0
PROD-1762,monitores,1953.0,1208.78,113,,bod-ext-99,2024-05-05,False,1208.78,5.0
PROD-2105,accesorios,841.0,204.86,282,5.0,occidente,2024-05-05,False,204.86,5.0
PROD-2052,smartphones,677.0,555.81,210,,occidente,2024-05-05,False,555.81,5.0
PROD-3061,laptop,42.0,1027.73,129,,norte,2024-05-05,False,1027.73,5.0
PROD-2749,smart-phone,844.0,914.41,168,,bod-ext-99,2024-05-05,False,914.41,5.0
PROD-1419,laptop,430.0,479.1,207,10.0,bod-ext-99,2024-05-06,False,479.1,10.0
PROD-3228,laptops,1181.0,657.44,277,,occidente,2024-05-06,False,657.44,5.0
PROD-3449,monitores,1704.0,76.14,219,3.0,bod-ext-99,2024-05-06,False,76.14,3.0
PROD-2366,smartphones,859.0,1217.5,195,,norte,2024-05-07,False,1217.5,5.0
PROD-3376,smartphones,885.0,533.28,263,,norte,2024-05-07,False,533.28,5.0
PROD-3451,accesorios,58.0,645.22,131,,occidente,2024-05-07,False,645.22,5.0
PROD-1092,tablets,611.0,871.58,215,5.0,norte,2024-05-08,False,871.58,5.0
PROD-3186,monitores,354.0,393.24,191,,norte,2024-05-08,False,393.24,5.0
PROD-2578,laptop,1531.0,129.18,222,,norte,2024-05-08,False,129.18,5.0
PROD-3394,monitores,1882.0,567.01,176,,norte,2024-05-09,False,567.01,5.0
PROD-2647,accesorios,1953.0,176.1,123,,norte,2024-05-09,False,176.1,5.0
PROD-1968,laptop,1894.0,1281.19,240,10.0,norte,2024-05-09,False,1281.19,10.0
PROD-1976,,409.0,926.25,163,5.0,occidente,2024-05-09,False,926.25,5.0
PROD-2338,laptop,226.0,1092.91,260,5.0,bod-ext-99,2024-05-09,False,1092.91,5.0
PROD-3067,monitores,244.0,205.19,106,,norte,2024-05-10,False,205.19,5.0
PROD-1584,laptop,722.0,1413.73,252,,norte,2024-05-10,False,1413.73,5.0
PROD-2962,tablets,598.0,1116.08,207,,norte,2024-05-10,False,1116.08,5.0
PROD-3047,smartphones,1637.0,1000.94,255,3.0,occidente,2024-05-11,False,1000.94,3.0
PROD-1413,laptops,405.0,424.96,230,3.0,bod-ext-99,2024-05-11,False,424.96,3.0
PROD-2779,,318.0,436.85,149,,sur,2024-05-11,False,436.85,5.0
PROD-3180,accesorios,1313.0,691.91,109,,norte,2024-05-11,False,691.91,5.0
PROD-2807,monitores,789.0,873.99,173,10.0,sur,2024-05-12,False,873.99,10.0
PROD-2194,tablets,1424.0,1244.8,109,,norte,2024-05-12,False,1244.8,5.0
PROD-3287,monitores,1807.0,1217.42,254,,zona_franca,2024-05-12,False,1217.42,5.0
PROD-1074,monitores,-29.0,1254.88,203,10.0,bod-ext-99,2024-05-12,True,1254.88,10.0
PROD-2185,accesorios,1769.0,604.08,157,,norte,2024-05-12,False,604.08,5.0
PROD-2116,smart-phone,766.0,152.28,244,5.0,sur,2024-05-13,False,152.28,5.0
PROD-3147,monitores,439.0,1233.28,253,,occidente,2024-05-13,False,1233.28,5.0
PROD-3233,smartphones,1514.0,463.84,245,,norte,2024-05-13,False,463.84,5.0
PROD-1170,,1605.0,161.36,262,10.0,norte,2024-05-13,False,161.36,10.0
PROD-1597,smart-phone,327.0,352.8,260,10.0,norte,2024-05-13,False,352.8,10.0
PROD-2580,accesorios,1707.0,793.29,295,,norte,2024-05-13,False,793.29,5.0
PROD-3331,tablets,1990.0,242.08,136,,norte,2024-05-14,False,242.08,5.0
PROD-2467,laptop,1631.0,1367.8,257,3.0,sur,2024-05-14,False,1367.8,3.0
PROD-1347,accesorios,1496.0,167.78,275,10.0,norte,2024-05-14,False,167.78,10.0
PROD-1187,smart-phone,1032.0,277.38,151,,bod-ext-99,2024-05-15,False,277.38,5.0
PROD-2983,smartphones,923.0,131.51,221,5.0,norte,2024-05-15,False,131.51,5.0
PROD-3327,smart-phone,-1.0,1469.47,246,,sur,2024-05-15,True,1469.47,5.0
PROD-3100,smart-phone,,1368.87,111,,norte,2024-05-15,False,1368.87,5.0
PROD-2281,smart-phone,1257.0,1452.54,135,3.0,zona_franca,2024-05-15,False,1452.54,3.0
PROD-2429,smart-phone,1592.0,463.55,251,3.0,norte,2024-05-15,False,463.55,3.0
PROD-2764,monitores,211.0,232.18,283,3.0,occidente,2024-05-16,False,232.18,3.0
PROD-2154,,1743.0,447.28,152,,norte,2024-05-16,False,447.28,5.0
PROD-1043,,1718.0,286.05,197,,bod-ext-99,2024-05-16,False,286.05,5.0
PROD-2236,laptops,860.0,1120.0,193,,zona_franca,2024-05-16,False,1120.0,5.0
PROD-2468,accesorios,1947.0,1152.58,136,,occidente,2024-05-17,False,1152.58,5.0
PROD-1423,smartphones,1960.0,1341.06,237,3.0,occidente,2024-05-17,False,1341.06,3.0
PROD-3038,laptop,583.0,255.01,173,,norte,2024-05-17,False,255.01,5.0
PROD-1022,tablets,1517.0,452.32,223,,zona_franca,2024-05-17,False,452.32,5.0
PROD-2389,laptops,386.0,1460.07,188,5.0,occidente,2024-05-17,False,1460.07,5.0
PROD-3470,accesorios,1954.0,97.08,188,,sur,2024-05-18,False,97.08,5.0
PROD-1590,laptops,309.0,893.52,105,3.0,sur,2024-05-18,False,893.52,3.0
PROD-3375,accesorios,,635.1,189,,zona_franca,2024-05-18,False,635.1,5.0
PROD-1808,laptop,1445.0,1204.55,229,5.0,norte,2024-05-18,False,1204.55,5.0
PROD-1319,laptop,1658.0,266.41,205,,norte,2024-05-19,False,266.41,5.0
PROD-1716,smartphones,381.0,801.91,208,10.0,norte,2024-05-19,False,801.91,10.0
PROD-2854,,727.0,727.53,253,10.0,occidente,2024-05-19,False,727.53,10.0
PROD-1147,smartphones,-23.0,1244.25,156,10.0,zona_franca,2024-05-19,True,1244.25,10.0
PROD-1600,monitores,,913.08,180,3.0,sur,2024-05-19,False,913.08,3.0
PROD-3176,accesorios,1180.0,801.12,215,,norte,2024-05-19,False,801.12,5.0
PROD-3484,smart-phone,1816.0,256.16,156,5.0,zona_franca,2024-05-19,False,256.16,5.0
PROD-1216,accesorios,1468.0,599.61,110,,sur,2024-05-20,False,599.61,5.0
PROD-2573,laptop,1539.0,654.89,256,,sur,2024-05-20,False,654.89,5.0
